CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyalty_Level,Cluster,Color
12346,325,1,77183.6,1,1,5,115,7,Silver,0,red
12747,2,103,4196.01,5,4,5,545,14,Diamond,2,blue
12748,1,4596,33719.73,5,5,5,555,15,Diamond,2,blue
12749,3,199,4090.88,5,5,5,555,15,Diamond,2,blue
12820,3,59,942.34,5,4,4,544,13,Platinum,2,blue
12821,214,6,92.72,1,1,1,111,3,Basic,1,green
12822,70,46,948.88,3,3,4,334,10,Gold,0,red
12823,74,5,1759.5,2,1,4,214,7,Silver,1,green
12824,59,25,397.12,3,2,2,322,7,Silver,0,red
12826,2,91,1474.72,5,4,4,544,13,Platinum,2,blue
12827,5,25,430.15,5,2,2,522,9,Gold,0,red
12828,2,56,1018.71,5,3,4,534,12,Platinum,2,blue
12829,336,11,293,1,1,2,112,4,Basic,1,green
12830,37,38,6814.64,3,3,5,335,11,Platinum,0,red
12831,262,9,215.05,1,1,1,111,3,Basic,1,green
12832,32,27,383.03,4,2,2,422,8,Silver,0,red
12833,145,24,417.38,2,2,2,222,6,Silver,1,green
12834,282,18,312.38,1,2,2,122,5,Basic,1,green
12836,59,175,2612.86,3,5,5,355,13,Platinum,0,red
12837,173,12,134.1,2,1,1,211,4,Basic,1,green
12838,33,123,683.13,3,5,3,353,11,Platinum,0,red
12839,2,314,5591.42,5,5,5,555,15,Diamond,2,blue
12840,143,113,2726.77,2,4,5,245,11,Platinum,0,red
12841,4,420,4022.35,5,5,5,555,15,Diamond,2,blue
12842,70,34,1118.99,3,3,4,334,10,Gold,0,red
12843,65,103,1702.26,3,4,4,344,11,Platinum,0,red
12844,29,52,325.96,4,3,2,432,9,Gold,0,red
12845,267,27,354.09,1,2,2,122,5,Basic,1,green
12847,22,91,871.54,4,4,3,443,11,Platinum,0,red
12849,31,51,1050.89,4,3,4,434,11,Platinum,0,red
12851,96,50,135.18,2,3,1,231,6,Silver,1,green
12852,294,17,311.55,1,2,2,122,5,Basic,1,green
12853,134,78,1957.1,2,4,4,244,10,Gold,0,red
12854,78,110,1324.5,2,4,4,244,10,Gold,0,red
12855,372,3,38.1,1,1,1,111,3,Basic,1,green
12856,7,314,2179.93,5,5,5,555,15,Diamond,2,blue
12857,210,46,1106.4,1,3,4,134,8,Silver,0,red
12863,52,5,521.2,3,1,3,313,7,Silver,1,green
12864,138,3,147.12,2,1,1,211,4,Basic,1,green
12867,26,538,4036.82,4,5,5,455,14,Diamond,2,blue
12868,185,107,1607.06,1,4,4,144,9,Gold,0,red
12871,84,11,380.64,2,1,2,212,5,Basic,1,green
12872,326,66,599.97,1,4,3,143,8,Silver,0,red
12873,282,4,374,1,1,2,112,4,Basic,1,green
12875,143,2,343.23,2,1,2,212,5,Basic,1,green
12877,3,154,1535.77,5,5,4,554,14,Diamond,2,blue
12878,236,47,854.99,1,3,3,133,7,Silver,0,red
12879,44,10,573.22,3,1,3,313,7,Silver,1,green
12881,275,7,298,1,1,2,112,4,Basic,1,green
12882,9,13,1463.04,5,1,4,514,10,Gold,0,red
12883,24,42,703.47,4,3,3,433,10,Gold,0,red
12884,88,7,309.05,2,1,2,212,5,Basic,1,green
12885,63,71,1175.22,3,4,4,344,11,Platinum,0,red
12886,67,82,1378.4,3,4,4,344,11,Platinum,0,red
12888,214,5,354.12,1,1,2,112,4,Basic,1,green
12890,24,82,380.47,4,4,2,442,10,Gold,0,red
12891,185,3,331,1,1,2,112,4,Basic,1,green
12893,30,34,188.14,4,3,1,431,8,Silver,1,green
12895,42,22,372.8,3,2,2,322,7,Silver,0,red
12897,204,4,216.5,1,1,1,111,3,Basic,1,green
12901,8,116,17654.54,5,4,5,545,14,Diamond,2,blue
12902,264,10,138.68,1,1,1,111,3,Basic,1,green
12904,18,72,509.58,4,4,3,443,11,Platinum,0,red
12906,11,63,2919.81,5,4,5,545,14,Diamond,2,blue
12908,176,2,750,2,1,3,213,6,Silver,1,green
12909,39,91,2178.67,3,4,5,345,12,Platinum,0,red
12910,23,75,3075.04,4,4,5,445,13,Platinum,2,blue
12912,2,24,1662.3,5,2,4,524,11,Platinum,2,blue
12913,4,50,2483.63,5,3,5,535,13,Platinum,2,blue
